bodyId_pre,bodyId_post,weight,type_pre,type_post,instance_pre,instance_post,status_pre,status_post,cropped_pre,cropped_post,conn_roiInfo,roi_names
23989,10148,65,LC10a,AOTU041,LC10a_L,AOTU041_L,Traced,Traced,,,"{'AOTU(L)': {'post': 65}, 'CentralBrain': {'post': 65}, 'VLNP(L)': {'post': 65}}","['AOTU(L)', 'CentralBrain', 'VLNP(L)']"
10148,11445,46,AOTU041,AOTU064,AOTU041_L,AOTU064_L,Traced,Traced,,,"{'AOTU(L)': {'post': 19}, 'CRE(-ROB)(-RUB)(L)': {'post': 1}, 'CRE(L)': {'post': 1}, 'CentralBrain': {'post': 46}, 'CentralBrain-unspecified': {'post': 2}, 'EPA(L)': {'post': 2}, 'INP': {'post': 1}, 'LAL(-GA)(L)': {'post': 3}, 'LAL(L)': {'post': 3}, 'LX(L)': {'post': 3}, 'SIP(L)': {'post': 16}, 'SNP(L)': {'post': 16}, 'VES(L)': {'post': 3}, 'VLNP(L)': {'post': 19}, 'VMNP': {'post': 5}}","['AOTU(L)', 'CRE(-ROB)(-RUB)(L)', 'CRE(L)', 'CentralBrain', 'CentralBrain-unspecified', 'EPA(L)', 'INP', 'LAL(-GA)(L)', 'LAL(L)', 'LX(L)', 'SIP(L)', 'SNP(L)', 'VES(L)', 'VLNP(L)', 'VMNP']"
11445,10090,77,AOTU064,aSP22,AOTU064_L,aSP22(DNa12)_L,Traced,Traced,,,"{'CentralBrain': {'post': 77}, 'CentralBrain-unspecified': {'post': 19}, 'EPA(L)': {'post': 16}, 'ICL(L)': {'post': 8}, 'INP': {'post': 8}, 'LAL(-GA)(L)': {'post': 5}, 'LAL(L)': {'post': 5}, 'LX(L)': {'post': 5}, 'SIP(L)': {'post': 23}, 'SNP(L)': {'post': 23}, 'VES(L)': {'post': 6}, 'VMNP': {'post': 22}}","['CentralBrain', 'CentralBrain-unspecified', 'EPA(L)', 'ICL(L)', 'INP', 'LAL(-GA)(L)', 'LAL(L)', 'LX(L)', 'SIP(L)', 'SNP(L)', 'VES(L)', 'VMNP']"
