roi,pre,post,downstream,upstream
ADMN(L),2,104,10,104
ANm,2,5,7,5
CV,2,7,8,7
CV-unspecified,2,7,8,7
CentralBrain,352,1154,2522,1154
CentralBrain-unspecified,0,1,20,1
FLA(L),25,10,204,10
GNG,327,1117,2298,1117
LegNp(T1)(L),1244,4470,8787,4470
LegNp(T2)(L),821,3844,5907,3844
LegNp(T3)(L),750,3632,5345,3632
Ov(L),974,6328,6070,6328
PENP,25,36,204,36
ProLN(L),1,15,7,15
SAD,0,26,0,26
SAD(-AMMC),0,26,0,26
VNC,3815,18616,26237,18616
VNC-unspecified,21,218,104,218
