source_label,source_body_id,bodyId_pre,bodyId_post,weight,type_pre,type_post,instance_pre,instance_post,status_pre,status_post,conn_roiInfo
pIP10_R,11116,11116,804090,102,pIP10,TN1a_i,pIP10_R,TN1a_i_L,Traced,Traced,"{'IntTct': {'post': 2}, 'LTct': {'post': 79}, 'LegNp(T1)(R)': {'post': 13}, 'VNC': {'post': 102}, 'VNC-unspecified': {'post': 7}, 'WTct(UTct-T2)(R)': {'post': 1}}"
TN1a_i_L,804090,804090,800917,36,TN1a_i,hg1 MN,TN1a_i_L,hg1 MN_R,Traced,Traced,"{'VNC': {'post': 36}, 'WTct(UTct-T2)(L)': {'post': 1}, 'WTct(UTct-T2)(R)': {'post': 35}}"
